1872,1923,1919,1887,1853,1869,1919,1922,1878,1842,1857,1918,1934,1904,1857,1871,1922,1922,1886,1847,1867,1904,1904,1872,1841,1861,1917,1922,1881,1847,1869,1920,1927,1895,1868,1877,1932,1931,1891,1856,1867,1920,1922,1890,1867,1894,1952,1954,1920,1891,1918,1978,1978,1930,1885,1906,1981,1991,1943,1905,1919,1968,1974,1939,1904,1919,1965,1953,1910,1872,1893,1942,1943,1904,1874,1903,1961,1968,1923,1894,1913,1968,1968,1925,1889,1905,1936,1915,1879,1853,1917,2369,3157,4095,4095,4095,4095,4095,4015,2947,2331,2163,2133,2089,2000,1959,1962,1933,1881,1839,1855,1904,1899,1859,1835,1857,1884,1907,1867,1835,1860,1918,1929,1897,1867,1885,1923,1925,1903,1882,1918,1974,1973,1933,1887,1904,1966,1970,1935,1904,1927,1980,1977,1936,1895,1905,1950,1943,1906,1868,1876,1923,1926,1883,1844,1863,1911,1923,1888,1862,1894,1957,1969,1934,1877,1889,1952,1981,1939,1881,1885,1940,1964,1917,1849,1860,1925,1951,1919,1860,1867,1936,1968,1933,1872,1879,1949,1955,1904,1845,1867,1943,1967,1918,1842,1843,1915,1951,1921,1854,1846,1905,1931,1893,1825,1826,1893,1927,1894,1835,1845,1917,1939,1899,1827,1834,1903,1927,1890,1839,1855,1895,1942,1899,1829,1840,1915,1939,1899,1837,1840,1913,1938,1893,1840,1867,1951,1978,1923,1851,1856,1926,1955,1925,1872,1885,1943,1966,1918
1857,1875,1965,1991,1941,1856,1852,1915,1941,1904,1838,1840,1903,1922,1882,1839,1861,1929,1947,1899,1839,1859,1936,1965,1917,1831,1802,1863,1925,1963,2128,2695,3540,4095,4095,4095,4095,3905,2938,2259,2011,2047,2131,2112,1995,1874,1850,1878,1917,1872,1808,1817,1872,1872,1866,1821,1840,1904,1917,1871,1824,1853,1936,1958,1913,1858,1875,1953,1984,1943,1891,1922,2001,2030,1977,1903,1904,1965,1997,1963,1907,1918,1986,2005,1962,1901,1914,1973,1987,1935,1870,1894,1967,1974,1917,1851,1867,1936,1968,1932,1866,1868,1925,1949,1904,1843,1858,1925,1933,1878,1813,1835,1904,1922,1876,1823,1840,1904,1925,1878,1822,1839,1903,1917,1875,1827,1847,1917,1931,1869,1807,1840,1920,1951,1909,1839,1839,1903,1927,1889,1843,1870,1934,1939,1887,1830,1850,1919,1927,1869,1796,1809,1879,1904,1857,1805,1826,1901,1921,1872,1815,1839,1907,1921,1863,1804,1819,1894,1914,1869,1815,1843,1920,1938,1891,1836,1865,1939,1965,1921,1881,1918,1987,1995,1959,1915,1934,1997,2000,1949,1892,1902,1980,2000,1919,1889,1893,1947,1962,1920,1862,1872,1934,1947,1898,1846,1872,1936,1951,1904,1856,1885,1955,1979,1935,1854,1847,1933,1981,2035,2496,3434,4095,4095,4095,4095,4095,4095,3218,2405,2039,2010,2087,2080,1978,1881,1869,1909,1913,1853,1802,1825,1889,1906,1870,1817,1844,1918,1937
1895,1856,1894,1970,1988,1939,1889,1914,1981,1999,1959,1909,1931,1997,2012,1970,1930,1954,2013,2016,1961,1904,1920,1984,1996,1941,1887,1911,1968,1970,1909,1856,1881,1949,1958,1910,1867,1904,1977,1990,1937,1893,1930,1989,1994,1943,1921,1963,2017,2006,1963,1936,1968,2015,2000,1951,1923,1968,2006,1997,1936,1904,1929,1968,1954,1906,1887,1926,1957,1955,1904,1875,1911,1962,1953,1917,1899,1931,1975,1942,1914,1894,1931,1981,1968,1918,1892,1923,1968,1959,1890,1865,1904,1951,1935,1878,1862,1904,1958,1940,1887,1869,1905,1951,1933,1887,1867,1904,1945,1934,1888,1869,1904,1953,1939,1897,1876,1918,1968,1957,1909,1886,1918,1961,1943,1907,1897,1941,1995,1977,1924,1905,1951,2001,1982,1921,1893,1930,1975,1958,1907,1891,1931,1974,1957,1904,1886,1923,1966,1939,1889,1867,1905,1954,1936,1889,1865,1904,1952,1938,1889,1866,1892,1911,1887,1855,1859,2255,3120,4095,4095,4095,4095,4095,4095,3600,2640,2183,2094,2067,1998,1915,1904,1931,1914,1841,1794,1824,1885,1888,1832,1779,1811,1883,1893,1841,1795,1837,1904,1918,1869,1826,1846,1931,1939,1892,1860,1901,1968,1978,1920,1871,1903,1959,1957,1892,1840,1875,1936,1907,1872,1808,1872,1916,1923,1863,1812,1853,1920,1926,1871,1821,1856,1923,1936,1882,1840,1889,1952,1959,1902,1856,1901,1967,1968,1905,1856,1895,1958
1959,1894,1842,1878,1946,1953,1894,1849,1889,1956,1958,1901,1855,1890,1952,1955,1894,1850,1887,1950,1948,1885,1843,1884,1954,1956,1889,1842,1882,1942,1939,1876,1831,1869,1933,1929,1867,1825,1867,1939,1942,1883,1837,1872,1937,1937,1877,1835,1872,1935,1935,1875,1840,1876,1938,1935,1875,1840,1878,1938,1937,1882,1851,1904,1968,1968,1895,1839,1873,1937,1941,1877,1835,1878,1953,1971,1929,1891,1936,1984,1973,1911,1874,1914,1973,1966,1894,1856,1901,1964,1947,1873,1834,1872,1950,1958,1875,1821,1865,1936,1943,1883,1841,1892,1958,1937,1840,1792,1847,1943,2030,2433,3165,4095,4095,4095,4095,4095,3488,2626,2192,2032,2014,2047,2063,1987,1872,1810,1849,1913,1904,1825,1774,1820,1885,1887,1826,1793,1843,1918,1927,1872,1840,1893,1955,1958,1904,1872,1923,1988,1983,1915,1879,1935,2005,2006,1946,1904,1953,2019,2013,1937,1900,1943,2007,2000,1923,1883,1927,1978,1969,1907,1871,1921,1981,1968,1897,1859,1907,1968,1965,1897,1856,1899,1958,1954,1893,1850,1894,1945,1933,1865,1831,1883,1941,1927,1861,1831,1881,1941,1941,1879,1840,1887,1942,1936,1866,1830,1873,1936,1930,1872,1837,1887,1947,1936,1871,1833,1872,1932,1917,1851,1821,1873,1936,1931,1867,1829,1876,1935,1931,1858,1824,1869,1918,1913,1851,1817,1863,1923,1918,1862,1827,1883,1936,1923,1853,1808,1862
1925,1920,1851,1815,1867,1905,1917,1856,1830,1882,1944,1936,1872,1845,1899,1968,1968,1907,1873,1922,1974,1961,1890,1860,1917,1968,1940,1861,1825,1891,1962,1942,1872,1840,1893,1955,1951,1879,1851,1901,1955,1951,1888,1862,1913,1968,1953,1854,1806,1883,1969,2160,2736,3712,4095,4095,4095,4095,4095,3893,2879,2270,2022,1984,2032,2047,1984,1875,1824,1867,1905,1883,1808,1776,1826,1878,1870,1808,1783,1830,1888,1887,1827,1803,1858,1924,1920,1859,1830,1884,1949,1949,1888,1866,1920,1981,1970,1901,1870,1911,1968,1959,1893,1867,1913,1962,1943,1867,1827,1872,1922,1911,1843,1815,1869,1928,1915,1855,1827,1884,1945,1936,1872,1844,1905,1962,1947,1877,1849,1904,1957,1937,1872,1842,1894,1957,1945,1872,1849,1906,1968,2010,1888,1843,1905,1959,1936,1863,1843,1905,1956,1941,1875,1855,1893,1961,1939,1869,1840,1898,1951,1930,1855,1826,1885,1947,1936,1867,1836,1889,1945,1929,1867,1840,1901,1949,1927,1859,1840,1891,1938,1922,1852,1834,1893,1936,1918,1843,1819,1875,1933,1916,1845,1821,1879,1936,1927,1858,1834,1883,1929,1906,1840,1813,1874,1934,1919,1849,1823,1875,1935,1921,1858,1840,1899,1943,1921,1847,1814,1873,1927,1907,1839,1814,1875,1931,1920,1855,1833,1894,1950,1933,1863,1843,1909,1963,1936,1867,1844,1904,1952,1936,1874,1855,1908,1965,1953,1891,1872
1931,1983,1969,1914,1902,1958,2005,1994,1927,1903,1949,1989,1965,1894,1871,1933,1979,1955,1884,1862,1918,1959,1939,1877,1866,1933,1981,1963,1891,1886,1936,1998,1955,1951,1876,1901,1934,1897,1883,2400,3456,4095,4095,4095,4095,4095,4095,3969,2890,2252,2105,2067,2030,1933,1872,1891,1906,1861,1781,1749,1808,1856,1840,1776,1751,1808,1857,1841,1774,1756,1825,1873,1858,1797,1789,1856,1909,1891,1829,1812,1878,1934,1890,1833,1813,1870,1909,1885,1808,1778,1827,1865,1839,1762,1747,1809,1856,1831,1763,1749,1815,1871,1850,1771,1755,1836,1890,1875,1816,1814,1890,1945,1935,1872,1863,1932,1978,1952,1884,1871,1933,1973,1941,1870,1846,1905,1962,1947,1874,1859,1920,1969,1949,1875,1862,1922,1965,1935,1872,1857,1920,1962,1930,1853,1835,1893,1939,1920,1855,1837,1898,1942,1920,1856,1840,1895,1938,1919,1845,1835,1901,1937,1907,1840,1824,1889,1936,1909,1837,1813,1895,1943,1923,1853,1834,1897,1934,1910,1841,1833,1903,1947,1923,1855,1842,1922,1946,1921,1854,1847,1917,1968,1961,1840,1841,1913,1957,1938,1870,1858,1928,1978,1955,1894,1883,1936,1982,1950,1874,1870,1939,1982,1954,1894,1891,1967,2013,1980,1904,1893,1969,2022,1990,1918,1907,1977,2017,1984,1905,1895,1958,1994,1968,1894,1881,1947,1985,1955,1889,1879,1939,1979,1951,1891,1889,1959,2001,1975,1904
1891,1957,1968,1913,1826,1781,2011,2748,3880,4095,4095,4095,4095,4095,4095,3203,2497,2190,2059,1951,1907,1927,1930,1873,1791,1778,1827,1858,1825,1755,1744,1808,1840,1808,1744,1747,1828,1875,1859,1799,1795,1860,1901,1872,1802,1803,1871,1911,1883,1815,1807,1872,1918,1895,1827,1814,1875,1906,1878,1805,1778,1854,1871,1840,1777,1776,1837,1872,1809,1775,1768,1839,1886,1869,1824,1830,1903,1934,1899,1883,1822,1918,1958,1924,1869,1877,1940,1974,1931,1863,1859,1929,1968,1931,1855,1835,1904,1948,1915,1845,1840,1904,1943,1911,1847,1845,1933,1971,1919,1839,1837,1907,1948,1917,1855,1847,1910,1938,1904,1840,1840,1915,1957,1925,1857,1856,1931,1968,1933,1871,1866,1931,1955,1919,1847,1853,1931,1968,1930,1861,1866,1936,1973,1936,1860,1852,1926,1963,1926,1858,1851,1920,1957,1921,1862,1869,1936,1964,1921,1849,1845,1907,1946,1909,1839,1841,1920,1966,1936,1872,1873,1938,1973,1943,1884,1883,1950,1975,1936,1869,1875,1953,1992,1947,1869,1860,1935,1979,1946,1874,1869,1927,1956,1921,1856,1857,1925,1962,1922,1856,1853,1925,1968,1926,1839,1806,1872,1925,1954,2213,2912,3991,4095,4095,4095,4095,3929,2925,2291,2058,2090,2099,2105,2000,1904,1873,1935,1952,1904,1831,1829,1887,1916,1875,1815,1825,1903,1936,1904,1846,1855,1935,1970,1927,1861,1872,1951,1989,1961
1897,1904,1979,2016,1984,1920,1936,2015,2056,2012,1936,1936,2000,2027,1978,1906,1901,1967,1999,1958,1889,1895,1964,1984,1942,1883,1898,1964,1983,1936,1865,1873,1953,1984,1940,1872,1873,1942,1973,1931,1861,1872,1934,1953,1911,1850,1858,1936,1969,1928,1861,1859,1927,1958,1927,1872,1883,1951,1971,1932,1872,1877,1943,1969,1931,1863,1874,1940,1968,1922,1857,1861,1922,1949,1917,1858,1857,1920,1947,1905,1851,1855,1913,1939,1898,1839,1847,1907,1935,1891,1830,1842,1910,1936,1893,1826,1840,1914,1941,1902,1832,1839,1909,1923,1910,1856,1873,1959,1963,1919,1824,1862,1953,1983,1939,1873,1887,1949,1983,1942,1878,1888,1961,1977,1926,1863,1877,1937,1959,1918,1862,1879,1943,1966,1927,1872,1885,1955,1985,1938,1879,1903,1957,1947,1875,1817,1849,2256,3127,4095,4095,4095,4095,4095,4095,3836,2826,2310,2128,2057,1977,1954,1973,1954,1883,1805,1807,1871,1883,1832,1762,1776,1855,1879,1840,1779,1793,1862,1888,1855,1802,1818,1895,1918,1872,1814,1835,1906,1927,1887,1829,1849,1920,1937,1890,1819,1829,1901,1917,1868,1801,1812,1883,1904,1855,1779,1791,1861,1883,1840,1789,1817,1899,1919,1875,1821,1842,1917,1934,1886,1839,1859,1936,1966,1919,1860,1879,1949,1973,1915,1855,1874,1958,1969,1920,1851,1865,1937,1954,1904,1843,1859,1929,1940,1890,1835,1854,1925,1938
1899,1840,1861,1930,1938,1887,1833,1860,1933,1947,1903,1847,1867,1947,1968,1914,1854,1869,1936,1953,1899,1840,1857,1934,1961,1913,1852,1868,1932,1946,1899,1840,1862,1936,1958,1904,1841,1859,1934,1949,1903,1852,1877,1949,1967,1910,1850,1872,1951,1971,1922,1869,1889,1957,1975,1927,1874,1905,1969,1989,1936,1888,1914,1979,1999,1951,1895,1917,1984,2000,1952,1899,1915,1981,1990,1941,1890,1920,1989,2000,1943,1895,1910,1975,1989,1946,1893,1907,1977,1999,1953,1904,1909,1936,1914,1841,1790,2219,3219,4095,4095,4095,4095,4095,4095,4095,3024,2362,2129,2076,1999,1911,1897,1935,1931,1872,1797,1822,1862,1873,1824,1776,1799,1845,1874,1823,1771,1803,1878,1904,1847,1790,1815,1890,1905,1859,1803,1829,1909,1926,1867,1779,1837,1911,1923,1869,1808,1843,1904,1904,1840,1777,1795,1854,1862,1808,1749,1776,1856,1877,1830,1776,1803,1877,1904,1869,1824,1865,1936,1945,1893,1841,1875,1956,1981,1929,1872,1907,1986,2000,1946,1898,1914,1974,1979,1922,1859,1888,1963,1972,1921,1867,1899,1962,1963,1904,1846,1887,1966,1974,1910,1855,1881,1945,1953,1895,1840,1866,1936,1950,1897,1845,1878,1945,1951,1893,1838,1874,1951,1968,1904,1840,1861,1934,1950,1897,1840,1867,1935,1951,1900,1850,1881,1952,1963,1899,1840,1871,1936,1934,1872,1819,1853,1926,1947,1890,1840,1869,1936
1949,1893,1840,1867,1938,1954,1902,1853,1878,1943,1962,1898,1842,1875,1937,1957,1899,1849,1877,1951,1971,1920,1874,1915,1986,1991,1951,1899,1936,2003,2026,2042,1945,1962,2017,2011,1949,1895,1930,1986,1994,1927,1875,1902,1970,1989,1933,1875,1903,1963,1968,1911,1866,1902,1968,1982,1930,1878,1913,1985,1977,1871,1782,1785,1840,2228,3092,4095,4095,4095,4095,4095,4095,4095,3121,2423,2064,1936,1954,1993,1962,1858,1783,1794,1851,1842,1776,1728,1767,1839,1837,1776,1734,1777,1850,1859,1797,1753,1792,1867,1869,1808,1755,1805,1879,1891,1834,1778,1815,1887,1892,1827,1777,1808,1870,1862,1793,1731,1755,1814,1815,1751,1706,1737,1799,1801,1737,1689,1731,1809,1824,1772,1734,1791,1868,1886,1834,1797,1845,1920,1927,1872,1833,1872,1941,1948,1889,1840,1882,1950,1959,1904,1847,1879,1958,1957,1895,1856,1894,1962,1962,1895,1849,1883,1968,1968,1885,1852,1887,1962,1964,1890,1820,1877,1927,1934,1871,1826,1865,1936,1943,1858,1813,1856,1919,1922,1869,1834,1867,1931,1937,1881,1829,1867,1936,1944,1889,1849,1883,1950,1951,1891,1853,1904,1973,1967,1891,1839,1873,1937,1945,1883,1841,1875,1936,1939,1874,1835,1874,1941,1943,1887,1840,1881,1940,1937,1882,1840,1885,1949,1942,1889,1859,1904,1966,1961,1902,1859,1909,1980,1979,1915,1873,1926,2001,2002,1936,1891,1936
